媳婦載婆婆就醫返家疑恍神猛撞橋墩車毀2  媳婦要被噹爆了
美濃湖小水雉出生沒多久就被魚吃掉了QQ  虎鯨好臭
為什麼不接受油飯的自我認同  油飯VS鼻涕的自我認同?
第一次吃金色三麥要怎點才顯得專業  上來，這樣點才叫懂門道
韓國實況主初次遇怪地點  ？？？
手搖飲店員做太快怎麼辦  一桶茶幾十塊可以做幾十杯你說呢
學生時期喜歡打破默契的人有八卦嗎  誰叫破默契？
為什麼會有人吃黏黏像鼻涕的肉粽  黏黏像鼻涕一樣的XX煎
美濃湖小水雉出生沒多久就被魚吃掉了QQ  回1F，魚虎是小盾鱧，泰國鱧是線鱧
認真睪丸被看到了會怎樣  國中同學體育課被看到後三年都被叫睪丸給你
快訊新北微風運河驚見浮屍死者身分  又是新北，我們新北才不在乎有沒有市長
有沒有可能抹布水是乾淨的  我看到一桶水的夜市牛排還是不敢吃
八卦板算是一種噁男試紙嗎  這裡噁男反噁男都有不是嗎
燈泡會壞是商人的陰謀真的嗎  更壞的是傳統三波長燈絲管才是最好的又便
惡狼現蹤南韓女實況主來台旅遊遭性騷  色男也來接住？
北部多名警涉開立不實罰單高雄1警也遭  我也在內湖被開罰單也吞了估計追不回
中國官方說餐點裡的鼠頭是鴨脖  党說是鴨脖就是鴨脖党說不缺電就不缺電
能出國的印度人是什麼種姓等級  整天在那種姓制度的垃圾國家被國際吐口
有沒有可能抹布水是乾淨的  其實今天的問題是廚房是開放式的被看到
性平提案表決爭議藍要求公開道歉綠指政  要不可能道歉的党出來道歉真的好笑
0056跟00878的信徒會不會看不起彼此00  56信徒之前狂批的平準金結果這次改版也來了
苗栗牛肉麵店恐怖氣爆57歲業者全身80  瓦斯桶搞到氣爆是直接點火嗎
最令你吃驚的粽子料  芋頭幹到底哪個低能放的
慟UQ是不是欠教育  露什麼肚臍是腹肌
商周為何越來越多人討厭QRcode點餐  qrcode人多時才方便，店家只想少幾個
王世堅送秤子盼我心如秤蔣萬安突冒出  誰在心中有分量，我心如秤...
雞排便當100元了欸怎麼辦  現在在台北，超過100元的便當是正常的
神鬼女教授詐美國2千萬論文偽造384張圖  這算台灣之光吧，詐美國經費，疑美
今天有賽雞雞嗎  好雞嗎？
覺得料理影片好看是有病了嗎  是真的很好看料理或探店都很爽
有沒有可能抹布水是乾淨的  乾淨的抹布，乾淨的水，乾淨的抹布水=
法網那個球僮是玻璃做的嗎  球僮不是都選小選手嗎？這球僮是哪
圖早餐吃這樣算大胃王了嗎  幾點了才在吃早餐
給柯文哲非常高評價前日相野田佳  想聽聽那位給侯什麼評價
新北市板橋要找哪家幼兒園好  同問出事那家吉得堡換名重新出發
商周為何越來越多人討厭QRcode點餐  說實話是系統還沒有優化在上海掃碼點餐
這盤干貝盤不盤  好吃就不盤
我受夠了你們這些噁心的台男給我進來  你要確定ㄛ小心變p眼交流
肥宅離女生幾尺不算跟騷  肥宅出門就算騷擾了
漢堡王幹嘛一直針對麥當勞啊  難不成他針對apple?
港仔是不是比台灣仔還冷漠  不是有個廚師最後去擋壞人
學妹不要的硬碟怎麼處理  下一篇成大宿舍MP3事件挖走的硬碟裡面有
約出遊堤防試機車性能4機車連環撞2死3輕重傷  玩改裝車的死一死剛好
紅喉魚有多好吃可以形容一下嗎  1b跟你互肛的狂甲肛門有比較彈嗎？
姓什麼的男生通常都比較帥  樓下的愛滋甲老公姓什麼？
若空姐護士OL惡整奧客放內褲煮麵會  會大賣到一直換內褲很不方便
下雨了柴山獼猴嗨翻滯洪池玩跳水畫面曝  吱吱暖到受不了跳水了
死忠的英文是  只有對英文死忠沒有死忠的英文
驚為什麼台灣的airbnb這麼貴  你問看看台灣有什麼便宜的？
給柯文哲非常高評價前日相野田佳  多高比天還高嗎？
惡狼現蹤南韓女實況主來台旅遊遭性騷  他有黨證是不是
二戰第一次看到敵軍噴射戰機有多震撼  不是有此一說、再有第三枚、就是砸東京~
現在工作上聯繫用line取代電子郵件多嗎  不多大家都不喜歡line做公事
油魚是不是不見了  吃油魚是不是就省KY?
私幼餵藥已10人報案今全園採檢  哇靠現在幼兒園餵小朋友安眠藥喔？
白色戀人還在巧克力餅乾排行No1嗎  Poyce巧克力洋芋片比白色的好吃
被流浪狗咬死只能活該自認倒楣嗎  讓他們體會被咬死的感覺
商周為何越來越多人討厭QRcode點餐  討厭用QRcode點餐
政壇性騷還有一堆將炸開前綠委驚爆  反觀告一堆沒一次贏wwwwww
台中6歲男童泡澡猝死身上赫見受虐舊  6歲身高很難溺斃，感覺是死後加工
1個月加班122小時日62歲翁過勞胃潰  一個月122小時不愧是超越鬼島的血汗日本
台灣對什麼事情真的零容忍  對提出問題的人零容忍啊沒看到提出問題
俄國防部烏克蘭已展開大反攻攻擊烏  烏克蘭怎麼不知道俄反抗派在幹嘛
空服員沒說日語日女咆哮飆罵華航證  語？而且真要說的話搭乘的華航屬於
進口蛋頻傳發霉買氣差陳吉仲要求業者  超扯進口蛋一進來養雞場突然不缺蛋了
王莽為什麼會被稱為穿越者  穿越者還是被我天命之子劉秀屌打
認真問台積電這幾年大爆發政府有幫忙嗎  李登輝時代就有矽盾這個名詞了，當時半導
開會當天繳不出報告  我敢說現在哪裡都拿不出報告但也不排
澳酒吧推脫內衣免費換酒罩杯越大越  按罩杯給量就歧視啦
免服兵役認定趨嚴身高須低於155BMI  身高低於155又BMI35可以去自殺嗎
外食本來就很沒衛生阿  哈哈哈哈哈很誠實
英駐華大使館發文展示六四歷史遭中共急刪  不懂中共幹嘛這麼諱莫如深
認了回收抹布水煮麵是員工個人疏失  用抹布水煮麵？有可能嗎
全家竟然在賣現蒸的肉粽  上世紀711賣的肉粽35元很好吃
日本便利商店幾乎沒在用現金了台灣  我都不帶現金出門啊不能用電子支
好死的人很少嗎  想想看你在世上是被詛咒的多還是被祝福的
臉書社團RISU外流大量私密照白喬茵  轉移焦點～賴神民調穩穩35%
盯著正妹看算性騷擾嗎  我個人覺得盯著裸曬日光浴的人看也是很騷
民進黨性騷擾連環爆賴清德我也要參加  我也要參加
惡狼現蹤南韓女實況主來台旅遊遭性騷  上行下效
軍公教調薪退休者不調薪  退休的不調薪還逐年砍，是在幹三小
認真問台積電這幾年大爆發政府有幫忙嗎  一直都有幫忙要問的是民進黨有多幫什麼
綠委兒童被餵藥侯友宜忙著選總統新北  黨員被強姦賴忙著選總統
外食本來就很沒衛生阿  買外食就是眼睛沒事不要亂看
前南市府副發言人易俊宏涉性騷轉職議員助  哥布林婦女部都很安靜
要怎麼忍住不看國中妹  看小學妹就會不看國中妹
抹布水煮麵老闆認了畫面和員工說法不  20幾歲年輕人…大概知道是支持哪黨的了
台積電高雄廠先進製程到底要做幾奈米  幾奈米不重要，總之是「先進製程」
賴清德若修改核能政策會和社會溝通後  修改到4年後選舉前再炒一次真香
零容忍代表可以容忍幾次  代表可以容忍100次以上
綠委兒童被餵藥侯友宜忙著選總統新北  其他縣市出事:zzz新北新竹出事:!
獨父子同泡澡爸爸出去講電話回來  講電話是藉口吧搞不好是弄掛了再衝出
性騷有在員工性騷長官的嗎  有，我認識一個傳產二代小開被新進的大奶
第一次吃金色三麥要怎點才顯得專業  叫服務生先把三麥都端出來要金色等
有什麼是帥哥作可以我做性騷擾的  你的存在就構成性騷擾
還記得以前某外國人酒駕跑出國的人嗎  英國人啊，超爽的
外食本來就很沒衛生阿  冷氣開強電費誰出客人？
人類是不是低估果糖的危險性了  只要有運動都好說人類真正低估的是不運
有多少人名字是台生  下一篇多少人叫阿中
澳酒吧推脫內衣免費換酒罩杯越大越  不公平，男生為什麼沒有脫內褲免費換酒？
梁家輝代言馬自達  當然是台灣馬自達，問台灣馬自達有
租屋仔怎麼解決飲水問題  要不要我教你怎麼吃飯喝水啊
快訊賴清德3點下令性騷零容忍  https://i.imgur.com/ImSe7K1.jpg
期限到民進黨性騷案未回函蔣萬安不  敢跟老闆說事太多做不完，所以不給
香港驚悚命案大翻轉謀殺3幼女最小2歲  香港真的很兇殘欸欸
梁家輝代言馬自達  瞎掰的啦
台北是沒美食嗎這樣也可以叫名店  台北的美食……你吃不起而已
梁家輝代言馬自達  照片都出來了
蘇巧慧曝時間軸怒批新北兒童被餵藥侯  侯竟然沒有親自處理根本不在乎484
怎麼殺蟑最安全專家請蟑螂喝啤酒  自己喝都來不及了還給蟑螂喝
台南北門雙春急水溪出海口被插上台灣自  台灣民政府黑熊部隊
雄風飛彈是吹噓的還是真的厲害  要數據是要判斷是塞到，還是飛彈有自我修
你有把雞雞夾在大腿內過嗎  你有問過蛋蛋嗎？
milet怎麼紅不太起來  都能上奧運叫不紅嗎
台大世界影響力排名37跌到67名是誰害的  不會是小英清德力挺的小智論文的台大吧?
房子這麼小間都誰在買  建商會用話術先買小在換大等你要換
從歷史看少子化不生政策遠不如搞好民生  有生啊爽到往生
每天一杯飲料真的很不健康嗎  真的只喝一杯不太健康你胃口不好嗎
台灣人有體無禮  所以樓上有嗎
全聯故意讓你買多更貴到底是什麼手法  限購是再多錢都不賣
蘇巧慧曝時間軸怒批新北兒童被餵藥侯  兒童出事情我就問社會安全網呢
為何雞排妹帶不起metoo運動  不是會誣賴別人的人是怎麼得來的
外送師最近怎麼一直逆襲  外送師開始買裝備了啦，有錄影無敵
留電話可以寫在哪個地方  車站的廁所上，記得加SEX
女同事沒穿內褲提醒她算性騷擾嗎  算性侵
澳酒吧推脫內衣免費換酒罩杯越大越  家願意內衣換酒不知道在阻擋什麼
統一後的台灣會是怎樣  你的房子會被拆掉，抱怨政府你會被抓去
捷運手扶梯這樣算不算插隊附圖  這不算插隊，應該以拉鍊式匯入解決
糗爺代言的娛樂城  淪落到要代言這種的
如何對付哥布林  我長得像哥布林殺手嗎
dcard有辦法看各版人氣嗎  dcard西斯屌打ptt西斯十條街
柯文哲忽視性騷女志工控柯當年不想管  當年的柯文哲不是現在的柯文哲懂?
台積電企業文化太嚴苛激怒美員工外  張忠謀不是早說過了，台積電不適合在美
民進黨未回函勞動局蔣萬安會再發函要  覺青：沒有的東西要怎麼給迫害
老人是不是很愛吃冰消暑不愛吹冷氣消暑  你可以吃冰同時吹冷氣
日本便利商店幾乎沒在用現金了台灣  我去日本便利商店都插台灣信用卡付款了
手遊天堂W台灣最強玩家公開刪除帳號  一出大事就切分身帳號來發文喔XDD
83歲男星不信能讓小54歲女友懷孕逼  83歲還這麼想不開
象棋暗棋到底能不能連吃  真正連暗棋都不能吃
女森裡面沒穿我盯著她看算性騷擾嗎  沒差你就算沒看也是個性騷擾的存在
男生初老症狀是不是開始不想玩遊戲了  只想買不想玩
女生被講淑女會生氣嗎  我家男生貓貓叫淑女
狗狗紅了眼是生病嗎  是你的眼紅了，快去看醫生
我飛得理直氣壯我唱得比誰都爽  畢業即失業
任賢齊出道六年才紅484很勵志  韓國也一堆很勵志的
為什麼樂天不多設計電臀動作給李多慧  襄焉會不開心
近10萬人受惠苗栗3000元敬老禮金通  10萬老人10萬軍，不發津貼是敵軍，貪婪
高爾夫一個人下場484超爽  一個人會比較貴嗎？
噗浪熱議謝謝企鵝妹侵犯隱私  我也覺得很震憾可是你也太LAG
假設黃仁勳如果吃到抹布水拉麵會怎樣  會拿顯卡丟老闆
前南市府副發言人易俊宏涉性騷轉職議員助  D能黨是選舉零容忍，不是性騷零容忍。
中國哪項科學發明有利人類進步  台灣研究指出都不是中國發明的
何志偉女朋友還好嗎  女朋友在哪?從沒看過
那些說要刪好友的是不是很假掰  對，像一樓那種就是假掰又雞掰
為何電信業者都要騙人用5G  用到5G的場合一般用固網+wifi會更好
零容忍的英文是什麼  zerotolerance英文有啊
美國人在台積電工作太累了如何反  這國家勞資金錢的分配一定是出了問題
信用卡要那麼多張幹嘛0_0  房貸下去管你信用卡幾張
快訊賴清德3點下令性騷零容忍  零容忍2.0
梁家輝代言馬自達  馬自達上次有沒有告我不知道但你現在可能會
手遊天堂W台灣最強玩家公開刪除帳號  不懂這遊戲在台灣怎麼會這麼紅韓國
昆蟲裡面演化到最高級的是哪隻  所有現存的物種都是演化的最新狀態
台灣租屋電費算貴嗎  貴
光纖網路每年都會漲價嗎  我都用500M上PTT，感覺好快
你覺得2030年的台灣會是甚麼樣子  2030年總統是賴清德吧
哪個退役中職球員讓人最難忘  我這個符號應該沒幾個人懂
日本便利商店幾乎沒在用現金了台灣  台灣紙鈔也很髒、日本紙鈔永遠乾淨像台灣
俄國防部烏克蘭已展開大反攻攻擊烏  黃俄孝子：是誰在鬼扯大反攻，啊是俄
再給柯南吃一顆縮小藥  變蟻人然後再一顆就量子領域
為什麼T很少性騷擾  T才最會性騷擾好不好==
蝴蝶姐姐的代表作是啥  蝴蝶飛呀！就像童年在風裡跑
googlemap1星評價被吃掉  可能你的帳號被Google認為亂評價？
柯文哲忽視性騷女志工控柯當年不想管  說你不管就是不管啦不管
天天誇對方漂亮算性騷  樓下算不算萌甲？
一輩子至少要去一次歐洲到底是不是真的  非常中肯荷蘭是不是到處都可以說英文
快訊賴清德3點下令性騷零容忍  零容忍是指不能容忍吹哨者不是性騷
